age,gender,married,dependents,education,self_employed,employment_type,applicant_income,coapplicant_income,credit_score,loan_amount,loan_term_months,existing_loans_count,property_area,loan_status
38,Male,Yes,0,Not Graduate,No,Salaried,22226,0,730,167,360,1,Rural,Approved
33,Male,Yes,0,Graduate,Yes,Salaried,12392,0,756,120,180,0,Rural,Approved
38,Female,Yes,0,Graduate,No,Salaried,24983,10553,640,61,180,0,Urban,Approved
21,Female,Yes,1,Graduate,No,Salaried,55123,0,537,131,240,1,Rural,Rejected
32,Female,Yes,0,Not Graduate,No,Salaried,36094,0,716,231,240,3,Semiurban,Approved
41,Male,No,0,Not Graduate,No,Salaried,27792,0,679,65,240,3,Semiurban,Rejected
56,Male,Yes,0,Not Graduate,No,Salaried,37337,32728,657,82,360,0,Rural,Rejected
49,Male,Yes,2,Graduate,No,Business,36725,16368,790,100,240,1,Semiurban,Approved
51,Male,Yes,0,Graduate,No,Business,49560,23362,721,162,240,1,Semiurban,Approved
42,Male,No,1,Graduate,No,Salaried,16222,9498,691,441,240,2,Urban,Rejected
25,Male,Yes,1,Not Graduate,No,Business,34504,20103,695,90,180,0,Urban,Approved
36,Male,Yes,0,Graduate,No,Business,38644,16354,756,141,240,3,Rural,Approved
59,Female,Yes,3,Graduate,No,Business,18349,18883,618,135,180,2,Urban,Rejected
22,Female,Yes,2,Graduate,Yes,Self-Employed,18223,0,601,116,360,1,Urban,Rejected
55,Male,Yes,0,Graduate,Yes,Salaried,30262,35695,659,131,180,0,Urban,Approved
47,Male,Yes,0,Graduate,No,Salaried,36471,26244,574,106,120,0,Semiurban,Approved
32,Male,Yes,0,Graduate,No,Business,36535,0,676,529,180,0,Urban,Approved
51,Male,Yes,0,Graduate,No,Salaried,27497,9457,689,195,180,2,Rural,Rejected
53,Male,Yes,0,Graduate,Yes,Business,26939,0,674,107,180,1,Semiurban,Approved
22,Male,Yes,3,Graduate,No,Self-Employed,29804,0,647,243,180,2,Rural,Approved
25,Female,No,2,Graduate,No,Salaried,42161,7618,829,153,360,0,Semiurban,Approved
46,Male,Yes,0,Graduate,No,Salaried,67664,0,765,138,120,2,Semiurban,Rejected
59,Female,Yes,0,Graduate,No,Business,11966,16035,671,123,360,2,Urban,Approved
21,Male,Yes,0,Graduate,No,Salaried,49588,7824,688,119,240,0,Urban,Approved
46,Male,Yes,0,Graduate,No,Self-Employed,34352,0,804,73,120,0,Rural,Approved
26,Male,No,0,Graduate,No,Business,47234,14877,627,58,120,1,Rural,Approved
46,Male,Yes,3,Not Graduate,No,Salaried,65695,0,593,162,360,1,Semiurban,Rejected
45,Male,Yes,2,Graduate,No,Salaried,24895,0,700,122,240,0,Rural,Approved
24,Female,Yes,0,Graduate,No,Salaried,58230,7371,717,208,120,1,Rural,Approved
47,Male,Yes,1,Graduate,No,Self-Employed,19399,31901,724,86,180,0,Urban,Approved
55,Male,No,1,Graduate,Yes,Salaried,38708,0,754,78,120,1,Semiurban,Approved
54,Male,Yes,2,Not Graduate,No,Salaried,32168,14983,614,198,180,2,Rural,Approved
22,Male,Yes,0,Not Graduate,No,Salaried,37166,0,553,116,120,0,Rural,Rejected
30,Male,No,0,Graduate,No,Salaried,22148,0,627,206,180,0,Urban,Rejected
30,Male,No,1,Not Graduate,No,Salaried,45181,0,732,137,180,1,Urban,Approved
38,Female,Yes,0,Graduate,Yes,Salaried,80269,13251,597,343,180,1,Semiurban,Rejected
26,Male,Yes,1,Graduate,Yes,Self-Employed,22339,8411,506,196,120,0,Urban,Rejected
54,Male,Yes,0,Graduate,Yes,Salaried,39928,0,693,165,240,0,Urban,Approved
51,Male,No,1,Graduate,Yes,Self-Employed,55711,0,629,200,240,1,Semiurban,Rejected
52,Female,No,2,Graduate,No,Business,31308,0,525,117,180,2,Semiurban,Rejected
28,Male,No,0,Graduate,No,Self-Employed,71696,0,687,59,360,1,Urban,Approved
21,Male,No,0,Graduate,No,Self-Employed,29295,9710,645,161,240,0,Semiurban,Approved
56,Male,Yes,1,Graduate,No,Salaried,34264,10172,831,355,60,0,Urban,Approved
32,Male,Yes,0,Graduate,No,Salaried,22102,0,688,43,60,0,Urban,Approved
46,Male,Yes,1,Graduate,No,Salaried,38688,0,733,170,240,0,Rural,Rejected
56,Female,No,1,Graduate,No,Salaried,36370,0,678,62,240,0,Rural,Approved
22,Male,Yes,0,Graduate,No,Salaried,49909,0,626,133,360,2,Urban,Rejected
21,Female,Yes,2,Graduate,No,Salaried,26421,0,636,140,60,2,Rural,Approved
21,Male,Yes,0,Graduate,No,Salaried,25823,0,777,195,120,0,Rural,Rejected
27,Female,No,1,Graduate,Yes,Self-Employed,45764,0,747,149,240,2,Semiurban,Approved
23,Female,No,0,Graduate,No,Salaried,73028,0,546,267,360,1,Rural,Rejected
52,Male,No,0,Graduate,No,Salaried,49737,0,568,241,180,1,Urban,Rejected
44,Male,Yes,0,Not Graduate,No,Salaried,91464,0,573,122,180,2,Urban,Approved
59,Male,No,3,Graduate,Yes,Salaried,47938,0,775,232,360,0,Rural,Approved
52,Female,No,2,Graduate,No,Salaried,47082,0,524,115,180,1,Semiurban,Rejected
58,Male,No,2,Graduate,No,Salaried,51003,0,751,105,240,0,Urban,Approved
30,Male,No,0,Graduate,Yes,Salaried,76427,0,716,74,360,2,Urban,Approved
32,Male,No,0,Graduate,No,Self-Employed,67426,0,693,259,120,0,Urban,Rejected
54,Female,No,2,Graduate,No,Business,21111,0,637,116,120,1,Urban,Rejected
30,Male,Yes,1,Graduate,Yes,Salaried,54192,25662,787,40,360,0,Urban,Approved
23,Male,Yes,0,Not Graduate,No,Salaried,41468,0,690,176,180,0,Rural,Approved
47,Female,Yes,2,Graduate,Yes,Self-Employed,32958,0,550,108,60,0,Urban,Rejected
52,Male,No,0,Graduate,No,Business,14966,0,571,116,180,1,Rural,Approved
58,Female,Yes,0,Not Graduate,Yes,Business,16813,0,532,119,180,0,Urban,Rejected
57,Male,Yes,3,Graduate,Yes,Salaried,30266,0,788,113,120,0,Urban,Approved
25,Male,Yes,0,Not Graduate,No,Salaried,17461,0,808,525,240,0,Rural,Approved
51,Female,No,0,Graduate,No,Salaried,30581,0,778,308,120,0,Urban,Approved
53,Male,No,1,Graduate,No,Self-Employed,51905,0,667,190,120,0,Urban,Rejected
48,Male,No,3,Not Graduate,No,Salaried,27161,0,552,152,120,1,Rural,Rejected
52,Male,Yes,0,Graduate,No,Business,37863,0,585,236,180,0,Urban,Rejected
53,Male,No,2,Not Graduate,No,Salaried,21269,7200,591,152,360,3,Urban,Rejected
38,Male,No,0,Graduate,No,Self-Employed,42167,15836,676,202,180,1,Rural,Approved
22,Male,Yes,0,Not Graduate,No,Salaried,46820,0,805,178,240,0,Semiurban,Approved
38,Male,Yes,0,Graduate,No,Salaried,17828,0,805,143,60,2,Semiurban,Approved
28,Male,No,0,Graduate,No,Salaried,24936,19104,636,215,180,0,Urban,Approved
25,Male,Yes,0,Graduate,No,Self-Employed,19272,0,479,109,180,2,Urban,Rejected
25,Male,Yes,0,Not Graduate,Yes,Salaried,46845,0,575,138,240,0,Semiurban,Approved
48,Male,No,1,Graduate,Yes,Salaried,39419,19425,787,82,180,0,Semiurban,Approved
40,Male,No,1,Graduate,No,Self-Employed,35424,0,701,87,240,3,Urban,Rejected
42,Female,Yes,1,Not Graduate,No,Business,34059,19998,648,38,120,0,Rural,Rejected
50,Male,No,2,Graduate,No,Self-Employed,42677,9093,642,169,360,2,Rural,Approved
42,Male,Yes,0,Graduate,No,Self-Employed,43106,0,612,194,240,0,Semiurban,Rejected
45,Male,No,0,Graduate,No,Salaried,28345,0,572,231,360,0,Semiurban,Rejected
24,Female,Yes,0,Graduate,No,Business,26429,25045,866,77,120,0,Semiurban,Approved
54,Male,No,1,Graduate,No,Salaried,35260,0,835,167,60,0,Semiurban,Approved
38,Male,No,0,Graduate,No,Business,33029,0,606,134,180,1,Urban,Rejected
27,Male,Yes,0,Graduate,Yes,Self-Employed,101757,0,522,194,180,0,Rural,Rejected
52,Male,Yes,0,Graduate,Yes,Salaried,29973,36668,695,97,240,0,Semiurban,Approved
49,Female,No,0,Graduate,No,Salaried,41975,17190,667,114,60,0,Rural,Approved
23,Female,Yes,3,Graduate,No,Self-Employed,45842,0,737,62,180,1,Rural,Approved
28,Male,Yes,1,Graduate,No,Self-Employed,73150,0,757,94,120,0,Urban,Approved
21,Female,Yes,0,Graduate,No,Self-Employed,24207,0,575,134,180,0,Urban,Rejected
31,Male,No,1,Graduate,Yes,Business,70957,12976,795,147,120,1,Semiurban,Approved
24,Male,Yes,1,Graduate,No,Salaried,33735,0,648,58,360,1,Semiurban,Rejected
48,Female,Yes,0,Graduate,No,Salaried,126839,0,735,104,120,2,Rural,Approved
41,Male,No,0,Graduate,No,Salaried,43534,24307,656,145,180,0,Urban,Approved
59,Male,Yes,1,Graduate,No,Salaried,19644,18656,763,272,60,0,Semiurban,Approved
50,Male,Yes,0,Not Graduate,No,Salaried,32906,0,467,88,120,0,Rural,Rejected
44,Female,Yes,0,Graduate,No,Business,70837,0,746,172,180,1,Rural,Approved
40,Male,Yes,0,Not Graduate,No,Salaried,37827,18188,605,101,60,0,Urban,Rejected
23,Male,Yes,2,Graduate,Yes,Self-Employed,35249,18506,687,107,180,0,Rural,Rejected
23,Male,No,3,Graduate,No,Self-Employed,52026,0,792,87,120,1,Urban,Approved
45,Male,Yes,2,Not Graduate,No,Salaried,30562,0,608,80,240,0,Semiurban,Rejected
21,Male,No,0,Not Graduate,Yes,Self-Employed,32684,5661,594,106,360,0,Urban,Rejected
22,Female,Yes,0,Graduate,No,Self-Employed,22644,9432,647,227,240,2,Semiurban,Rejected
29,Female,Yes,1,Graduate,No,Salaried,86199,7254,641,92,60,2,Urban,Approved
55,Female,Yes,2,Graduate,No,Salaried,19706,0,585,85,180,1,Urban,Rejected
38,Female,Yes,3,Graduate,No,Salaried,39527,0,690,149,120,0,Urban,Approved
48,Male,No,2,Graduate,No,Self-Employed,46163,0,694,135,180,0,Rural,Rejected
37,Male,Yes,0,Graduate,No,Salaried,36068,0,722,130,240,0,Semiurban,Approved
27,Male,Yes,1,Graduate,No,Salaried,19401,0,606,152,60,1,Semiurban,Rejected
35,Male,Yes,2,Graduate,No,Business,22040,0,595,81,120,2,Semiurban,Rejected
24,Female,No,1,Graduate,No,Self-Employed,47158,19271,669,86,240,0,Urban,Approved
51,Male,Yes,1,Graduate,No,Self-Employed,24589,36024,658,220,180,0,Urban,Approved
28,Female,No,0,Graduate,Yes,Business,12887,47574,660,125,120,0,Urban,Rejected
35,Male,Yes,1,Not Graduate,Yes,Salaried,44068,13611,616,181,360,1,Semiurban,Approved
59,Male,Yes,0,Graduate,No,Salaried,23476,0,710,248,120,0,Rural,Approved
44,Male,No,0,Not Graduate,Yes,Self-Employed,49792,0,595,205,240,1,Urban,Rejected
38,Male,Yes,2,Graduate,No,Salaried,32833,9729,669,68,120,1,Semiurban,Approved
42,Male,Yes,3,Graduate,No,Salaried,32051,0,652,127,360,0,Rural,Approved
51,Male,No,2,Graduate,No,Self-Employed,37277,0,677,226,240,2,Rural,Approved
30,Male,Yes,0,Not Graduate,No,Salaried,20553,0,787,174,120,2,Urban,Approved
45,Female,Yes,0,Not Graduate,No,Salaried,24035,5225,562,147,360,1,Rural,Rejected
55,Male,Yes,0,Graduate,No,Salaried,31890,0,465,59,120,0,Semiurban,Rejected
43,Male,Yes,2,Graduate,No,Self-Employed,20493,0,627,99,360,0,Semiurban,Rejected
38,Female,No,1,Graduate,No,Salaried,51891,0,576,139,240,0,Rural,Rejected
26,Male,Yes,3,Graduate,No,Salaried,31142,0,409,66,120,0,Urban,Rejected
30,Female,No,0,Graduate,No,Business,17593,0,837,200,180,0,Rural,Approved
57,Female,Yes,1,Graduate,No,Business,27460,39906,730,127,60,2,Semiurban,Approved
42,Male,No,2,Not Graduate,Yes,Salaried,38200,0,740,50,180,0,Rural,Approved
32,Male,No,0,Graduate,Yes,Salaried,29055,5800,654,101,180,0,Rural,Approved
37,Male,No,3,Graduate,No,Salaried,44352,0,718,116,180,2,Semiurban,Rejected
43,Female,Yes,1,Not Graduate,No,Salaried,48389,24526,642,126,240,1,Urban,Rejected
41,Female,Yes,0,Graduate,No,Salaried,120674,22447,753,273,360,0,Urban,Rejected
48,Female,Yes,0,Graduate,No,Salaried,64558,0,697,179,180,3,Rural,Rejected
31,Male,No,2,Graduate,No,Salaried,16024,0,677,68,240,0,Semiurban,Approved
46,Male,Yes,1,Not Graduate,No,Salaried,30330,0,684,64,120,1,Rural,Rejected
38,Male,No,2,Graduate,Yes,Salaried,31783,0,812,118,360,0,Urban,Approved
57,Female,Yes,2,Graduate,No,Self-Employed,48414,0,695,143,360,1,Semiurban,Rejected
27,Male,No,0,Graduate,Yes,Salaried,22770,0,587,221,360,1,Rural,Rejected
26,Male,Yes,2,Graduate,No,Salaried,27844,0,710,319,240,1,Rural,Approved
39,Male,No,3,Graduate,No,Salaried,19493,0,724,328,120,0,Urban,Approved
40,Female,Yes,0,Not Graduate,No,Business,26873,0,667,108,120,2,Urban,Approved
47,Female,Yes,2,Graduate,No,Salaried,27379,13689,675,214,180,1,Rural,Rejected
36,Male,No,0,Graduate,No,Salaried,31054,25332,584,166,60,2,Rural,Rejected
56,Male,No,0,Graduate,Yes,Self-Employed,20065,11830,689,78,180,0,Semiurban,Approved
39,Male,No,0,Graduate,Yes,Self-Employed,59338,0,571,52,180,1,Semiurban,Approved
26,Male,No,2,Graduate,No,Self-Employed,45987,0,657,144,240,2,Urban,Approved
25,Male,Yes,0,Graduate,No,Salaried,17599,28341,620,64,180,1,Semiurban,Approved
58,Male,No,0,Not Graduate,No,Salaried,36790,29084,768,88,120,0,Urban,Approved
26,Male,Yes,1,Graduate,No,Salaried,16604,18025,819,95,240,1,Urban,Approved
57,Male,Yes,0,Graduate,No,Salaried,71049,0,577,150,120,0,Rural,Approved
31,Male,Yes,2,Graduate,No,Salaried,81394,10537,680,255,120,0,Urban,Approved
24,Male,Yes,3,Not Graduate,No,Salaried,35317,0,652,135,180,0,Rural,Rejected
32,Female,Yes,0,Not Graduate,No,Salaried,23711,0,722,103,120,0,Semiurban,Approved
44,Male,No,0,Graduate,Yes,Business,26052,0,689,48,120,0,Urban,Approved
37,Female,Yes,3,Graduate,No,Salaried,28944,0,645,169,120,1,Urban,Rejected
51,Male,No,0,Graduate,No,Salaried,34427,0,688,136,60,1,Urban,Approved
44,Male,Yes,0,Graduate,No,Business,72059,0,661,102,120,0,Semiurban,Approved
36,Male,Yes,3,Graduate,No,Self-Employed,58560,0,823,241,180,1,Rural,Approved
45,Male,Yes,2,Graduate,No,Salaried,59012,0,609,74,240,0,Rural,Approved
58,Male,Yes,1,Not Graduate,No,Self-Employed,39549,0,703,95,120,3,Rural,Approved
37,Male,Yes,1,Graduate,No,Salaried,20398,29327,726,119,120,2,Rural,Approved
26,Female,No,3,Graduate,No,Self-Employed,24710,30335,719,101,60,2,Rural,Approved
36,Male,Yes,1,Graduate,No,Salaried,37435,0,653,177,60,2,Semiurban,Approved
53,Male,Yes,1,Graduate,No,Business,19919,0,803,169,180,1,Semiurban,Approved
29,Male,No,2,Graduate,No,Salaried,42277,0,492,227,180,0,Semiurban,Rejected
58,Male,Yes,1,Not Graduate,No,Self-Employed,54315,25808,582,173,240,2,Urban,Rejected
43,Female,No,0,Graduate,No,Salaried,47699,0,740,127,240,1,Semiurban,Approved
44,Female,No,0,Graduate,Yes,Salaried,46751,0,601,113,360,0,Semiurban,Rejected
33,Male,Yes,0,Graduate,No,Salaried,14283,0,596,169,360,0,Urban,Rejected
56,Male,Yes,0,Not Graduate,No,Self-Employed,70734,0,638,122,120,1,Rural,Approved
22,Male,Yes,0,Graduate,No,Salaried,16586,10201,609,137,120,0,Urban,Approved
32,Male,Yes,0,Graduate,No,Business,33645,11229,737,173,180,3,Semiurban,Approved
37,Female,Yes,2,Graduate,Yes,Salaried,49477,0,761,144,180,0,Rural,Approved
39,Female,No,0,Graduate,Yes,Self-Employed,43447,7737,688,157,180,0,Urban,Approved
39,Male,Yes,0,Graduate,Yes,Self-Employed,19170,0,775,90,180,0,Rural,Rejected
26,Male,No,0,Graduate,No,Salaried,20970,4545,555,264,360,1,Rural,Rejected
29,Male,Yes,0,Graduate,No,Self-Employed,41921,0,687,77,180,1,Semiurban,Rejected
24,Male,Yes,2,Graduate,No,Self-Employed,46884,18385,801,167,360,1,Rural,Approved
43,Male,Yes,0,Not Graduate,No,Self-Employed,20877,0,768,105,360,0,Semiurban,Approved
34,Male,Yes,0,Not Graduate,Yes,Salaried,44192,0,809,231,180,2,Semiurban,Approved
43,Female,No,2,Not Graduate,No,Self-Employed,17024,0,627,209,120,0,Semiurban,Rejected
43,Male,Yes,0,Graduate,No,Salaried,49622,0,763,134,120,0,Semiurban,Approved
48,Male,Yes,0,Graduate,No,Salaried,23344,20227,642,292,180,0,Urban,Rejected
42,Male,Yes,2,Graduate,No,Salaried,37807,16201,734,122,360,0,Urban,Approved
46,Male,Yes,1,Graduate,No,Self-Employed,34763,8974,798,209,360,1,Urban,Approved
43,Female,No,2,Graduate,No,Business,64882,0,609,93,120,1,Rural,Rejected
46,Male,No,2,Graduate,No,Salaried,40989,0,513,164,60,0,Rural,Rejected
45,Female,No,3,Not Graduate,Yes,Salaried,26915,56999,846,84,240,2,Rural,Approved
33,Female,Yes,0,Not Graduate,No,Salaried,43469,0,724,136,180,0,Urban,Approved
30,Male,Yes,2,Graduate,No,Salaried,106001,12856,670,131,240,0,Semiurban,Approved
51,Male,No,1,Graduate,Yes,Self-Employed,52578,19412,665,208,120,1,Semiurban,Approved
34,Female,Yes,0,Graduate,No,Self-Employed,35257,21021,491,96,120,1,Urban,Approved
42,Male,No,3,Graduate,No,Self-Employed,23937,0,699,624,120,3,Semiurban,Rejected
28,Male,Yes,0,Graduate,No,Self-Employed,26682,36067,632,67,60,0,Urban,Approved
37,Female,Yes,2,Graduate,No,Salaried,51021,0,685,151,180,0,Rural,Approved
41,Female,No,1,Graduate,No,Salaried,23321,0,683,155,60,3,Urban,Rejected
45,Male,Yes,0,Graduate,No,Salaried,36364,0,376,176,180,0,Rural,Rejected
41,Male,No,0,Graduate,No,Business,74519,8236,724,104,240,1,Rural,Rejected
35,Male,Yes,3,Not Graduate,No,Self-Employed,39152,0,697,152,60,0,Semiurban,Approved
58,Female,Yes,1,Graduate,No,Salaried,21172,0,709,101,360,0,Urban,Approved
40,Male,Yes,0,Graduate,No,Salaried,107896,0,663,343,120,3,Urban,Rejected
52,Male,Yes,0,Graduate,Yes,Salaried,87660,29030,684,98,240,3,Rural,Rejected
49,Male,Yes,2,Graduate,No,Business,46657,34140,696,125,120,3,Urban,Rejected
42,Female,Yes,0,Graduate,No,Salaried,68726,10674,705,96,240,2,Urban,Rejected
55,Female,Yes,1,Graduate,No,Salaried,31777,6574,723,90,60,1,Rural,Approved
26,Male,No,1,Not Graduate,No,Salaried,52168,0,705,67,180,1,Rural,Approved
56,Male,Yes,0,Graduate,No,Self-Employed,29385,4813,846,188,360,0,Semiurban,Approved
54,Female,Yes,1,Graduate,No,Self-Employed,18440,0,615,96,120,1,Urban,Rejected
40,Female,Yes,0,Graduate,Yes,Salaried,132715,0,646,90,240,1,Semiurban,Approved
49,Male,No,3,Not Graduate,No,Self-Employed,17975,0,832,83,240,1,Rural,Approved
41,Male,Yes,2,Graduate,No,Salaried,42141,0,666,156,120,0,Urban,Rejected
31,Male,Yes,0,Graduate,No,Self-Employed,41896,10788,764,136,60,0,Urban,Approved
52,Male,Yes,0,Not Graduate,No,Salaried,47005,22957,692,136,240,2,Urban,Approved
30,Male,Yes,0,Graduate,No,Salaried,34723,0,659,92,360,3,Semiurban,Approved
33,Male,Yes,3,Graduate,No,Salaried,34905,0,769,167,120,0,Urban,Approved
41,Male,Yes,0,Graduate,No,Self-Employed,38918,0,727,96,240,0,Rural,Approved
53,Female,No,1,Graduate,No,Salaried,46163,0,542,139,240,2,Urban,Rejected
35,Male,Yes,3,Not Graduate,No,Salaried,36283,0,696,125,180,1,Urban,Approved
40,Male,Yes,0,Graduate,Yes,Salaried,35095,0,590,58,240,1,Rural,Approved
22,Male,Yes,1,Graduate,Yes,Salaried,18759,7866,794,370,60,2,Rural,Approved
25,Male,Yes,0,Graduate,No,Self-Employed,99393,18118,838,179,180,1,Semiurban,Approved
23,Male,Yes,1,Graduate,No,Salaried,47470,23003,849,147,360,1,Rural,Approved
23,Male,Yes,0,Graduate,No,Salaried,40314,0,712,159,240,1,Urban,Approved
54,Male,Yes,3,Not Graduate,No,Self-Employed,26576,32888,638,375,120,0,Semiurban,Rejected
53,Male,No,0,Graduate,No,Salaried,21987,7711,709,237,180,0,Urban,Approved
53,Female,Yes,0,Not Graduate,No,Business,55826,0,595,160,120,0,Semiurban,Rejected
23,Male,No,2,Not Graduate,No,Salaried,33526,47697,891,94,120,1,Rural,Approved
24,Female,Yes,2,Graduate,No,Business,49540,28939,787,102,120,0,Rural,Approved
31,Female,Yes,1,Graduate,No,Business,18470,6674,707,55,120,2,Urban,Rejected
43,Female,No,1,Graduate,No,Salaried,78702,14664,770,112,180,0,Urban,Approved
34,Male,No,0,Graduate,Yes,Salaried,56993,34203,636,187,120,1,Rural,Approved
40,Male,Yes,1,Graduate,No,Self-Employed,34873,9996,580,184,240,0,Semiurban,Approved
27,Male,No,0,Graduate,Yes,Self-Employed,45881,13149,481,183,360,0,Urban,Rejected
49,Male,Yes,0,Graduate,No,Salaried,52602,0,687,104,180,0,Urban,Approved
33,Male,Yes,3,Graduate,No,Salaried,18611,22972,661,177,120,1,Urban,Approved
23,Female,No,1,Graduate,No,Salaried,84029,0,727,203,360,0,Semiurban,Approved
49,Male,No,0,Graduate,No,Self-Employed,46241,0,681,44,60,0,Semiurban,Approved
56,Female,Yes,0,Graduate,No,Self-Employed,25539,0,723,156,180,2,Semiurban,Approved
21,Male,Yes,3,Graduate,No,Salaried,20988,0,753,380,120,1,Semiurban,Rejected
38,Male,Yes,0,Not Graduate,No,Salaried,59489,0,549,116,360,1,Semiurban,Rejected
53,Male,Yes,0,Not Graduate,No,Self-Employed,40359,23385,758,38,120,1,Urban,Approved
48,Male,No,0,Not Graduate,No,Business,46226,16113,643,89,360,1,Urban,Approved
54,Male,Yes,0,Graduate,No,Salaried,36803,38726,727,54,360,0,Urban,Approved
37,Male,Yes,0,Graduate,No,Salaried,21996,0,772,98,360,0,Rural,Approved
35,Male,Yes,3,Not Graduate,No,Salaried,46831,0,773,73,240,0,Rural,Approved
48,Male,Yes,0,Graduate,Yes,Self-Employed,32900,37019,692,214,240,0,Urban,Approved
26,Male,Yes,0,Graduate,No,Salaried,35924,19765,696,198,360,1,Semiurban,Rejected
30,Female,No,1,Graduate,No,Salaried,119193,0,760,159,120,2,Semiurban,Approved
44,Male,Yes,1,Graduate,Yes,Self-Employed,56080,0,545,248,240,1,Semiurban,Rejected
47,Male,No,1,Graduate,Yes,Salaried,57721,8737,594,101,120,0,Semiurban,Rejected
25,Male,Yes,1,Graduate,Yes,Salaried,141529,0,655,139,180,2,Rural,Approved
40,Male,Yes,1,Graduate,No,Salaried,44015,0,560,402,180,0,Urban,Rejected
35,Male,Yes,1,Not Graduate,Yes,Salaried,38555,0,656,180,360,0,Semiurban,Rejected
40,Male,Yes,2,Graduate,No,Salaried,25859,0,651,180,120,0,Semiurban,Rejected
58,Female,Yes,1,Graduate,No,Salaried,28962,0,688,91,180,2,Semiurban,Approved
23,Male,No,2,Graduate,No,Salaried,13049,16716,675,109,180,1,Urban,Approved
59,Male,No,0,Graduate,No,Salaried,53918,0,776,81,240,1,Semiurban,Approved
38,Male,Yes,1,Graduate,Yes,Business,19275,0,732,311,120,1,Urban,Approved
51,Male,Yes,1,Not Graduate,No,Business,57032,0,674,62,180,1,Semiurban,Rejected
37,Male,No,0,Graduate,Yes,Salaried,35543,0,650,212,180,0,Semiurban,Rejected
33,Male,Yes,2,Graduate,No,Self-Employed,38717,0,676,180,360,1,Urban,Approved
51,Male,No,0,Not Graduate,No,Salaried,35554,17125,677,60,360,0,Rural,Approved
47,Male,Yes,0,Graduate,No,Self-Employed,72623,26525,900,238,120,0,Rural,Approved
26,Female,Yes,2,Graduate,No,Business,66484,0,549,118,120,1,Semiurban,Rejected
48,Male,Yes,0,Graduate,No,Self-Employed,35795,30273,597,69,240,0,Rural,Rejected
50,Male,No,0,Graduate,No,Self-Employed,23167,0,583,161,180,2,Rural,Rejected
36,Male,Yes,0,Graduate,No,Salaried,57638,0,704,89,240,0,Urban,Approved
57,Male,No,2,Graduate,No,Salaried,22308,4926,701,121,240,0,Semiurban,Approved
45,Male,Yes,0,Graduate,Yes,Salaried,16690,8983,628,104,60,0,Semiurban,Approved
34,Male,Yes,1,Graduate,No,Salaried,46592,0,761,87,360,1,Semiurban,Approved
21,Female,No,2,Graduate,No,Self-Employed,66786,10712,713,74,120,0,Rural,Approved
47,Male,Yes,1,Not Graduate,No,Salaried,29657,8229,764,200,360,2,Semiurban,Approved
29,Male,Yes,3,Not Graduate,No,Salaried,44456,16819,788,158,180,0,Urban,Approved
50,Female,Yes,2,Graduate,No,Salaried,29501,36525,488,153,360,0,Semiurban,Rejected
41,Female,No,0,Not Graduate,No,Self-Employed,52104,0,742,112,120,0,Rural,Approved
39,Male,Yes,3,Not Graduate,No,Salaried,62788,0,564,138,180,2,Urban,Rejected
27,Male,Yes,0,Graduate,No,Salaried,31843,0,702,93,60,0,Urban,Approved
48,Male,No,0,Graduate,No,Self-Employed,21725,0,673,92,240,0,Urban,Approved
27,Female,No,0,Graduate,Yes,Salaried,17527,39641,677,316,360,0,Semiurban,Approved
37,Male,No,1,Graduate,Yes,Self-Employed,57690,0,572,209,240,1,Urban,Rejected
53,Female,No,0,Graduate,No,Salaried,20573,0,773,101,240,0,Urban,Approved
56,Male,No,1,Graduate,No,Salaried,43740,0,564,64,120,0,Urban,Rejected
59,Female,Yes,0,Graduate,No,Business,53568,7253,748,57,360,1,Semiurban,Approved
58,Male,Yes,0,Graduate,No,Salaried,28264,8690,551,98,120,2,Urban,Rejected
42,Male,No,0,Graduate,No,Salaried,33419,13414,678,142,180,0,Urban,Approved
28,Male,No,2,Not Graduate,No,Salaried,59846,15003,842,142,120,0,Semiurban,Approved
53,Male,No,0,Not Graduate,No,Business,24243,79638,893,145,240,0,Urban,Approved
52,Male,Yes,0,Graduate,No,Business,23044,0,534,159,180,2,Urban,Rejected
59,Male,Yes,0,Graduate,No,Salaried,32299,7461,617,80,180,1,Semiurban,Rejected
46,Male,Yes,0,Graduate,No,Salaried,68800,9307,633,285,60,0,Urban,Rejected
26,Male,Yes,1,Graduate,No,Salaried,81256,0,883,122,180,1,Urban,Approved
40,Female,Yes,0,Graduate,No,Self-Employed,34565,0,674,156,120,0,Semiurban,Approved
38,Female,No,0,Graduate,No,Salaried,25436,10676,777,97,360,0,Urban,Approved
53,Male,Yes,2,Not Graduate,No,Salaried,61825,16525,707,157,240,3,Semiurban,Approved
36,Male,Yes,0,Graduate,No,Salaried,15762,0,572,379,360,0,Rural,Rejected
33,Male,Yes,0,Graduate,Yes,Business,41102,0,513,82,180,0,Semiurban,Approved
24,Female,Yes,2,Graduate,No,Salaried,35527,0,625,77,240,1,Semiurban,Approved
53,Male,No,1,Graduate,No,Salaried,69349,50685,889,87,180,1,Rural,Approved
50,Male,Yes,1,Graduate,No,Business,72949,0,703,114,360,0,Semiurban,Approved
22,Female,Yes,0,Graduate,No,Salaried,22669,0,775,103,120,1,Rural,Approved
37,Female,Yes,0,Graduate,No,Salaried,39491,12310,552,80,120,1,Semiurban,Rejected
39,Male,Yes,0,Not Graduate,No,Salaried,27302,11888,651,131,180,2,Semiurban,Rejected
